Episode,AvgReward,P1_WinRate,P1_Annihil,P1_Attrit,P2_Annihil,P2_Attrit,DrawRate,AvgSteps,Timestamp
12800,-184.26,0.68,0.34,0.34,0.13,0.10,0.09,1176.5,2025-11-30T05:26:36.913248
12900,-117.10,0.71,0.38,0.33,0.16,0.06,0.07,1121.4,2025-11-30T05:31:53.066997
13000,69.20,0.72,0.50,0.22,0.20,0.04,0.04,946.2,2025-11-30T05:36:17.347771
13100,-240.65,0.68,0.26,0.42,0.14,0.05,0.13,1222.5,2025-11-30T05:43:36.535178
13200,-121.56,0.72,0.35,0.37,0.16,0.02,0.10,1112.8,2025-11-30T05:50:36.699672
13300,-162.00,0.72,0.36,0.36,0.11,0.05,0.12,1142.2,2025-11-30T05:55:59.083936
13400,-217.13,0.68,0.26,0.42,0.16,0.05,0.11,1189.5,2025-11-30T06:01:59.545553
13500,-240.46,0.58,0.25,0.33,0.16,0.18,0.08,1214.2,2025-11-30T06:09:18.259209
13600,-221.68,0.77,0.30,0.47,0.12,0.06,0.05,1185.9,2025-11-30T06:16:31.398270
13700,-79.94,0.72,0.41,0.31,0.16,0.05,0.07,1093.3,2025-11-30T06:22:14.654580
13800,-86.00,0.75,0.38,0.37,0.19,0.03,0.03,1102.3,2025-11-30T06:29:12.940394
13900,-77.53,0.73,0.40,0.33,0.16,0.04,0.07,1050.5,2025-11-30T06:36:02.896288
14000,-144.74,0.79,0.33,0.46,0.16,0.03,0.02,1124.2,2025-11-30T06:42:17.762516
14100,-98.86,0.73,0.35,0.38,0.19,0.02,0.06,1090.0,2025-11-30T06:47:29.697773
14200,-192.53,0.76,0.31,0.45,0.13,0.04,0.07,1165.0,2025-11-30T06:53:12.353700
14300,-210.75,0.73,0.28,0.45,0.15,0.05,0.07,1168.2,2025-11-30T06:58:30.026964
14400,-217.27,0.72,0.24,0.48,0.19,0.03,0.06,1201.6,2025-11-30T07:05:43.102145
14500,-234.81,0.81,0.29,0.52,0.12,0.02,0.05,1210.2,2025-11-30T07:11:42.294519
14600,-82.80,0.77,0.40,0.37,0.18,0.02,0.03,1097.2,2025-11-30T07:18:40.274914
14700,-179.42,0.62,0.24,0.38,0.21,0.09,0.08,1154.8,2025-11-30T07:25:47.584216
14800,-202.32,0.63,0.21,0.42,0.23,0.07,0.07,1197.8,2025-11-30T07:32:17.462529
14900,-159.03,0.73,0.33,0.40,0.17,0.06,0.04,1160.0,2025-11-30T07:39:26.198057
15000,-187.38,0.73,0.26,0.47,0.19,0.03,0.05,1158.1,2025-11-30T07:46:35.289923
15100,-104.12,0.73,0.36,0.37,0.18,0.03,0.06,1089.2,2025-11-30T07:53:31.596934
15200,-88.94,0.69,0.33,0.36,0.24,0.02,0.05,1103.7,2025-11-30T07:59:20.749131
15300,-84.07,0.74,0.38,0.36,0.18,0.01,0.07,1088.8,2025-11-30T08:05:20.956845
15400,-114.73,0.62,0.29,0.33,0.24,0.04,0.10,1111.0,2025-11-30T08:10:35.348111
15500,42.28,0.80,0.54,0.26,0.14,0.00,0.06,960.3,2025-11-30T08:16:27.576338
15600,-49.72,0.70,0.47,0.23,0.14,0.05,0.11,1041.2,2025-11-30T08:23:16.363987
15700,-181.37,0.69,0.37,0.32,0.12,0.04,0.15,1164.5,2025-11-30T08:30:26.589627
15800,-190.48,0.63,0.30,0.33,0.16,0.09,0.12,1177.3,2025-11-30T08:37:06.007196
15900,-138.29,0.76,0.35,0.41,0.16,0.05,0.03,1133.0,2025-11-30T08:43:12.432301
16000,-94.44,0.65,0.35,0.30,0.21,0.02,0.12,1076.8,2025-11-30T08:49:11.223398
16100,-223.74,0.64,0.26,0.38,0.15,0.12,0.09,1197.8,2025-11-30T08:56:26.179322
16200,-130.94,0.86,0.48,0.38,0.05,0.03,0.06,1130.0,2025-11-30T09:01:45.616163
16300,-115.97,0.73,0.33,0.40,0.20,0.04,0.03,1106.7,2025-11-30T09:07:05.821596
16400,-540.72,0.48,0.07,0.41,0.04,0.20,0.28,1421.5,2025-11-30T09:14:59.770438
16500,-170.22,0.75,0.35,0.40,0.12,0.07,0.06,1156.3,2025-11-30T09:20:34.401724
16600,-206.59,0.74,0.27,0.47,0.16,0.04,0.06,1184.9,2025-11-30T09:27:47.914002
16700,-133.47,0.69,0.30,0.39,0.20,0.06,0.05,1107.3,2025-11-30T09:34:47.211844
16800,-145.52,0.67,0.32,0.35,0.19,0.09,0.05,1146.6,2025-11-30T09:41:53.876177
16900,-53.60,0.79,0.47,0.32,0.12,0.04,0.05,1053.4,2025-11-30T09:46:39.480194
17000,-150.05,0.80,0.40,0.40,0.10,0.06,0.04,1154.0,2025-11-30T09:53:21.103470
17100,-113.31,0.72,0.35,0.37,0.17,0.05,0.06,1098.1,2025-11-30T10:00:07.481172
17200,-93.49,0.73,0.36,0.37,0.18,0.02,0.07,1081.9,2025-11-30T10:05:34.040513
17300,-0.10,0.76,0.48,0.28,0.16,0.06,0.02,1019.4,2025-11-30T10:11:03.070622
17400,-72.36,0.79,0.45,0.34,0.12,0.05,0.04,1071.6,2025-11-30T10:15:53.970601
17500,-32.26,0.70,0.43,0.27,0.19,0.04,0.07,1054.9,2025-11-30T10:21:49.509864
17600,-131.96,0.74,0.33,0.41,0.19,0.02,0.05,1144.8,2025-11-30T10:27:13.879013
17700,-92.49,0.75,0.40,0.35,0.18,0.02,0.05,1127.8,2025-11-30T10:34:17.379972
17800,-263.25,0.75,0.23,0.52,0.14,0.04,0.07,1245.5,2025-11-30T10:41:40.688451
17900,-25.48,0.77,0.43,0.34,0.19,0.01,0.03,1046.5,2025-11-30T10:48:28.608356
18000,-57.48,0.71,0.40,0.31,0.18,0.05,0.06,1079.1,2025-11-30T10:54:16.672054
18100,-60.86,0.67,0.38,0.29,0.22,0.04,0.07,1105.6,2025-11-30T11:00:31.416578
18200,-114.11,0.60,0.31,0.29,0.23,0.06,0.11,1133.6,2025-11-30T11:06:08.423056
18300,-130.93,0.79,0.35,0.44,0.14,0.03,0.04,1107.2,2025-11-30T11:12:33.227068
18400,-77.99,0.77,0.38,0.39,0.17,0.02,0.04,1063.7,2025-11-30T11:19:24.451675
18500,-64.16,0.72,0.36,0.36,0.20,0.02,0.06,1026.5,2025-11-30T11:24:10.638071
18600,-93.31,0.72,0.38,0.34,0.18,0.03,0.07,1104.2,2025-11-30T11:30:26.121847
18700,-172.16,0.66,0.33,0.33,0.15,0.08,0.11,1182.3,2025-11-30T11:37:38.564056
18800,-125.27,0.60,0.29,0.31,0.22,0.08,0.10,1102.2,2025-11-30T11:43:28.060950
18900,-404.11,0.61,0.22,0.39,0.01,0.26,0.12,1333.2,2025-11-30T11:51:06.248659
19000,-318.31,0.58,0.27,0.31,0.04,0.24,0.14,1238.1,2025-11-30T11:58:28.226082
19100,-340.47,0.65,0.26,0.39,0.04,0.19,0.12,1256.7,2025-11-30T12:05:53.454126
19200,-357.04,0.63,0.19,0.44,0.06,0.22,0.09,1255.0,2025-11-30T12:13:18.659193
19300,-433.37,0.67,0.16,0.51,0.03,0.18,0.12,1339.8,2025-11-30T12:19:18.545454
19400,-418.40,0.48,0.15,0.33,0.07,0.31,0.14,1349.9,2025-11-30T12:26:59.997221
19500,-104.69,0.71,0.37,0.34,0.16,0.01,0.12,1086.5,2025-11-30T12:33:55.270649
19600,-135.32,0.73,0.35,0.38,0.17,0.08,0.02,1142.5,2025-11-30T12:41:01.069923
19700,-16.09,0.67,0.38,0.29,0.24,0.03,0.06,1011.5,2025-11-30T12:46:06.951297
19800,-118.75,0.69,0.38,0.31,0.14,0.07,0.10,1101.5,2025-11-30T12:51:18.509228
19900,-115.23,0.66,0.35,0.31,0.18,0.06,0.10,1109.0,2025-11-30T12:56:17.379141
20000,-237.88,0.72,0.24,0.48,0.20,0.03,0.05,1239.2,2025-11-30T13:03:41.388659
20100,-90.08,0.79,0.41,0.38,0.15,0.02,0.04,1079.2,2025-11-30T13:09:11.980251
20200,-106.47,0.68,0.36,0.32,0.17,0.06,0.09,1077.0,2025-11-30T13:14:31.419105
20300,-207.66,0.69,0.29,0.40,0.16,0.06,0.09,1202.5,2025-11-30T13:20:49.243051
20400,-157.66,0.68,0.31,0.37,0.18,0.03,0.11,1129.6,2025-11-30T13:27:53.075282
20500,-141.63,0.69,0.36,0.33,0.16,0.10,0.05,1151.0,2025-11-30T13:33:21.127285
20600,-189.38,0.71,0.30,0.41,0.16,0.06,0.07,1188.6,2025-11-30T13:40:34.751493
20700,-193.08,0.80,0.36,0.44,0.10,0.04,0.06,1195.1,2025-11-30T13:45:55.092036
20800,-206.12,0.72,0.30,0.42,0.13,0.06,0.09,1182.7,2025-11-30T13:53:06.506356
20900,-226.63,0.73,0.26,0.47,0.16,0.04,0.07,1206.4,2025-11-30T13:58:34.107262
21000,-227.26,0.67,0.26,0.41,0.16,0.08,0.09,1194.8,2025-11-30T14:05:48.036316
21100,-180.29,0.67,0.30,0.37,0.18,0.06,0.09,1174.2,2025-11-30T14:12:58.091889
21200,-138.15,0.74,0.38,0.36,0.12,0.08,0.06,1136.0,2025-11-30T14:18:52.300565
21300,-72.33,0.74,0.38,0.36,0.17,0.05,0.04,1041.6,2025-11-30T14:25:40.567135
21400,-113.60,0.66,0.34,0.32,0.18,0.05,0.11,1104.5,2025-11-30T14:32:38.562558
21500,-184.08,0.78,0.32,0.46,0.13,0.05,0.04,1154.9,2025-11-30T14:38:17.703822
21600,-194.97,0.72,0.27,0.45,0.18,0.06,0.04,1172.5,2025-11-30T14:43:43.658303
21700,-211.84,0.73,0.25,0.48,0.19,0.02,0.06,1195.7,2025-11-30T14:50:57.381086
21800,-103.12,0.69,0.32,0.37,0.23,0.02,0.06,1103.0,2025-11-30T14:56:31.484361
21900,-141.81,0.76,0.34,0.42,0.16,0.02,0.06,1131.3,2025-11-30T15:03:34.874473
